日付,日本
1/1/2020,0
1/2/2020,0
1/3/2020,0
1/4/2020,0
1/5/2020,0
1/6/2020,0
1/7/2020,0
1/8/2020,0
1/9/2020,0
1/10/2020,0
1/11/2020,0
1/12/2020,0
1/13/2020,0
1/14/2020,0
1/15/2020,0
1/16/2020,0
1/17/2020,0
1/18/2020,0
1/19/2020,0
1/20/2020,0
1/21/2020,0
1/22/2020,2
1/23/2020,2
1/24/2020,2
1/25/2020,2
1/26/2020,4
1/27/2020,4
1/28/2020,7
1/29/2020,7
1/30/2020,11
1/31/2020,15
2/1/2020,20
2/2/2020,20
2/3/2020,20
2/4/2020,22
2/5/2020,23
2/6/2020,23
2/7/2020,23
2/8/2020,24
2/9/2020,24
2/10/2020,26
2/11/2020,27
2/12/2020,28
2/13/2020,33
2/14/2020,43
2/15/2020,54
2/16/2020,60
2/17/2020,67
2/18/2020,79
2/19/2020,85
2/20/2020,95
2/21/2020,112
2/22/2020,137
2/23/2020,149
2/24/2020,160
2/25/2020,173
2/26/2020,192
2/27/2020,218
2/28/2020,236
2/29/2020,245
3/1/2020,259
3/2/2020,278
3/3/2020,298
3/4/2020,333
3/5/2020,365
3/6/2020,420
3/7/2020,466
3/8/2020,499
3/9/2020,527
3/10/2020,585
3/11/2020,640
3/12/2020,696
3/13/2020,733
3/14/2020,795
3/15/2020,826
3/16/2020,843
3/17/2020,893
3/18/2020,928
3/19/2020,968
3/20/2020,1022
3/21/2020,1059
3/22/2020,1104
3/23/2020,1144
3/24/2020,1217
3/25/2020,1314
3/26/2020,1416
3/27/2020,1530
3/28/2020,1728
3/29/2020,1907
3/30/2020,2001
3/31/2020,2255
4/1/2020,2535
4/2/2020,2818
4/3/2020,3154
4/4/2020,3525
4/5/2020,3876
4/6/2020,4110
4/7/2020,4485
4/8/2020,5020
4/9/2020,5614
4/10/2020,6250
4/11/2020,6951
4/12/2020,7473
4/13/2020,7773
4/14/2020,8277
4/15/2020,8835
4/16/2020,9398
4/17/2020,9958
4/18/2020,10548
4/19/2020,10914
4/20/2020,11258
4/21/2020,11641
4/22/2020,12037
4/23/2020,12469
4/24/2020,12854
4/25/2020,13186
4/26/2020,13405
4/27/2020,13576
4/28/2020,13860
4/29/2020,14076
4/30/2020,14284
5/1/2020,14558
5/2/2020,14861
5/3/2020,15061
5/4/2020,15229
5/5/2020,15354
5/6/2020,15455
5/7/2020,15553
5/8/2020,15640
5/9/2020,15755
5/10/2020,15824
5/11/2020,15861
5/12/2020,15948
5/13/2020,15998
5/14/2020,16096
5/15/2020,16148
5/16/2020,16202
5/17/2020,16226
