日付,日本
1/1/2020,0
1/2/2020,0
1/3/2020,0
1/4/2020,0
1/5/2020,0
1/6/2020,0
1/7/2020,0
1/8/2020,0
1/9/2020,0
1/10/2020,0
1/11/2020,0
1/12/2020,0
1/13/2020,0
1/14/2020,0
1/15/2020,0
1/16/2020,0
1/17/2020,0
1/18/2020,0
1/19/2020,0
1/20/2020,0
1/21/2020,0
1/22/2020,0
1/23/2020,0
1/24/2020,0
1/25/2020,0
1/26/2020,2
1/27/2020,0
1/28/2020,3
1/29/2020,0
1/30/2020,4
1/31/2020,4
2/1/2020,5
2/2/2020,0
2/3/2020,0
2/4/2020,2
2/5/2020,1
2/6/2020,0
2/7/2020,0
2/8/2020,1
2/9/2020,0
2/10/2020,2
2/11/2020,1
2/12/2020,1
2/13/2020,5
2/14/2020,10
2/15/2020,11
2/16/2020,6
2/17/2020,7
2/18/2020,12
2/19/2020,6
2/20/2020,10
2/21/2020,17
2/22/2020,25
2/23/2020,12
2/24/2020,11
2/25/2020,13
2/26/2020,19
2/27/2020,26
2/28/2020,18
2/29/2020,9
3/1/2020,14
3/2/2020,19
3/3/2020,20
3/4/2020,35
3/5/2020,32
3/6/2020,55
3/7/2020,46
3/8/2020,33
3/9/2020,28
3/10/2020,58
3/11/2020,55
3/12/2020,56
3/13/2020,37
3/14/2020,62
3/15/2020,31
3/16/2020,17
3/17/2020,50
3/18/2020,35
3/19/2020,40
3/20/2020,54
3/21/2020,37
3/22/2020,45
3/23/2020,40
3/24/2020,73
3/25/2020,97
3/26/2020,102
3/27/2020,114
3/28/2020,198
3/29/2020,179
3/30/2020,94
3/31/2020,254
4/1/2020,280
4/2/2020,283
4/3/2020,336
4/4/2020,371
4/5/2020,351
4/6/2020,234
4/7/2020,375
4/8/2020,535
4/9/2020,594
4/10/2020,636
4/11/2020,701
4/12/2020,522
4/13/2020,300
4/14/2020,504
4/15/2020,558
4/16/2020,563
4/17/2020,560
4/18/2020,590
4/19/2020,366
4/20/2020,344
4/21/2020,383
4/22/2020,396
4/23/2020,432
4/24/2020,385
4/25/2020,332
4/26/2020,219
4/27/2020,171
4/28/2020,284
4/29/2020,216
4/30/2020,208
5/1/2020,274
5/2/2020,303
5/3/2020,200
5/4/2020,168
5/5/2020,125
5/6/2020,101
5/7/2020,98
5/8/2020,87
5/9/2020,115
5/10/2020,69
5/11/2020,37
5/12/2020,87
5/13/2020,50
5/14/2020,98
5/15/2020,52
5/16/2020,54
5/17/2020,24
5/18/2020,33
5/19/2020,28
5/20/2020,34
5/21/2020,41
5/22/2020,23
5/23/2020,25
5/24/2020,41
