日付,曜日,祝日,off,,
2020/1/1,三,元日,1,,
2020/1/2,四,,0,,
2020/1/3,五,,0,,
2020/1/4,六,,1,,
2020/1/5,日,,1,,
2020/1/6,一,,0,,
2020/1/7,二,,0,,
2020/1/8,三,,0,,
2020/1/9,四,,0,,
2020/1/10,五,,0,,
2020/1/11,六,,1,,
2020/1/12,日,,1,,
2020/1/13,一,成人の日,1,,
2020/1/14,二,,0,,
2020/1/15,三,,0,,
2020/1/16,四,,0,,
2020/1/17,五,,0,,
2020/1/18,六,,1,,
2020/1/19,日,,1,,
2020/1/20,一,,0,,
2020/1/21,二,,0,,
2020/1/22,三,,0,,
2020/1/23,四,,0,,
2020/1/24,五,,0,,
2020/1/25,六,,1,,
2020/1/26,日,,1,,
2020/1/27,一,,0,,
2020/1/28,二,,0,,
2020/1/29,三,,0,,
2020/1/30,四,,0,,
2020/1/31,五,,0,,
2020/2/1,六,,1,,
2020/2/2,日,,1,,
2020/2/3,一,,0,,
2020/2/4,二,,0,,
2020/2/5,三,,0,,
2020/2/6,四,,0,,
2020/2/7,五,,0,,
2020/2/8,六,,1,,
2020/2/9,日,,1,,
2020/2/10,一,,0,,
2020/2/11,二,建国記念日,1,,
2020/2/12,三,,0,,
2020/2/13,四,,0,,
2020/2/14,五,,0,,
2020/2/15,六,,1,,
2020/2/16,日,,1,,
2020/2/17,一,,0,,
2020/2/18,二,,0,,
2020/2/19,三,,0,,
2020/2/20,四,,0,,
2020/2/21,五,,0,,
2020/2/22,六,,1,,
2020/2/23,日,天皇誕生日,1,,
2020/2/24,一,振替休日,1,,
2020/2/25,二,,0,,
2020/2/26,三,,0,,
2020/2/27,四,,0,,
2020/2/28,五,,0,,
2020/2/29,六,,1,,
2020/3/1,日,,1,,
2020/3/2,一,,0,,
2020/3/3,二,,0,,
2020/3/4,三,,0,,
2020/3/5,四,,0,,
2020/3/6,五,,0,,
2020/3/7,六,,1,,
2020/3/8,日,,1,,
2020/3/9,一,,0,,
2020/3/10,二,,0,,
2020/3/11,三,,0,,
2020/3/12,四,,0,,
2020/3/13,五,,0,,
2020/3/14,六,,1,,
2020/3/15,日,,1,,
2020/3/16,一,,0,,
2020/3/17,二,,0,,
2020/3/18,三,,0,,
2020/3/19,四,,0,,
2020/3/20,五,春分の日,1,,
2020/3/21,六,,1,,
2020/3/22,日,,1,,
2020/3/23,一,,0,,
2020/3/24,二,,0,,
2020/3/25,三,,0,,
2020/3/26,四,,0,,
2020/3/27,五,,0,,
2020/3/28,六,,1,,
2020/3/29,日,,1,,
2020/3/30,一,,0,,
2020/3/31,二,,0,,
2020/4/1,三,,0,,
2020/4/2,四,,0,,
2020/4/3,五,,0,,
2020/4/4,六,,1,,
2020/4/5,日,,1,,
2020/4/6,一,,0,,
2020/4/7,二,,0,,
2020/4/8,三,,0,,
2020/4/9,四,,0,,
2020/4/10,五,,0,,
2020/4/11,六,,1,,
2020/4/12,日,,1,,
2020/4/13,一,,0,,
2020/4/14,二,,0,,
2020/4/15,三,,0,,
2020/4/16,四,,0,,
2020/4/17,五,,0,,
2020/4/18,六,,1,,
2020/4/19,日,,1,,
2020/4/20,一,,0,,
2020/4/21,二,,0,,
2020/4/22,三,,0,,
2020/4/23,四,,0,,
2020/4/24,五,,0,,
2020/4/25,六,,1,,
2020/4/26,日,,1,,
2020/4/27,一,,0,,
2020/4/28,二,,0,,
2020/4/29,三,昭和の日,1,,
2020/4/30,四,,0,,
2020/5/1,五,,0,,
2020/5/2,六,,1,,
2020/5/3,日,憲法記念日,1,,
2020/5/4,一,みどりの日,1,,
2020/5/5,二,こどもの日,1,,
2020/5/6,三,振替休日,1,,
2020/5/7,四,,0,,
2020/5/8,五,,0,,
2020/5/9,六,,1,,
2020/5/10,日,,1,,
2020/5/11,一,,0,,
2020/5/12,二,,0,,
2020/5/13,三,,0,,
2020/5/14,四,,0,,
2020/5/15,五,,0,,
2020/5/16,六,,1,,
2020/5/17,日,,1,,
2020/5/18,一,,0,,
2020/5/19,二,,0,,
2020/5/20,三,,0,,
2020/5/21,四,,0,,
2020/5/22,五,,0,,
2020/5/23,六,,1,,
2020/5/24,日,,1,,
2020/5/25,一,,0,,
2020/5/26,二,,0,,
2020/5/27,三,,0,,
2020/5/28,四,,0,,
2020/5/29,五,,0,,
2020/5/30,六,,1,,
2020/5/31,日,,1,,
2020/6/1,一,,0,,
2020/6/2,二,,0,,
2020/6/3,三,,0,,
2020/6/4,四,,0,,
2020/6/5,五,,0,,
2020/6/6,六,,1,,
2020/6/7,日,,1,,
2020/6/8,一,,0,,
2020/6/9,二,,0,,
2020/6/10,三,,0,,
2020/6/11,四,,0,,
2020/6/12,五,,0,,
2020/6/13,六,,1,,
2020/6/14,日,,1,,
2020/6/15,一,,0,,
2020/6/16,二,,0,,
2020/6/17,三,,0,,
2020/6/18,四,,0,,
2020/6/19,五,,0,,
2020/6/20,六,,1,,
2020/6/21,日,,1,,
2020/6/22,一,,0,,
2020/6/23,二,,0,,
2020/6/24,三,,0,,
2020/6/25,四,,0,,
2020/6/26,五,,0,,
2020/6/27,六,,1,,
2020/6/28,日,,1,,
2020/6/29,一,,0,,
2020/6/30,二,,0,,
2020/7/1,三,,0,,
2020/7/2,四,,0,,
2020/7/3,五,,0,,
2020/7/4,六,,1,,
2020/7/5,日,,1,,
2020/7/6,一,,0,,
2020/7/7,二,,0,,
2020/7/8,三,,0,,
2020/7/9,四,,0,,
2020/7/10,五,,0,,
2020/7/11,六,,1,,
2020/7/12,日,,1,,
2020/7/13,一,,0,,
2020/7/14,二,,0,,
2020/7/15,三,,0,,
2020/7/16,四,,0,,
2020/7/17,五,,0,,
2020/7/18,六,,1,,
2020/7/19,日,,1,,
2020/7/20,一,,0,,
2020/7/21,二,,0,,
2020/7/22,三,,0,,
2020/7/23,四,海の日,1,,
2020/7/24,五,スポーツの日,1,,
2020/7/25,六,,1,,
2020/7/26,日,,1,,
2020/7/27,一,,0,,
2020/7/28,二,,0,,
2020/7/29,三,,0,,
2020/7/30,四,,0,,
2020/7/31,五,,0,,
