date,shibuya,shinjyuku,marunouchi,shinagawa,shimokitazawa,hachiouji,osaka,sapporo,sendai,fukuoka
2020/1/1,-2,-2,-2,-2,-2,0,-2,1,0,-2
2020/1/2,1,1,1,1,1,1,1,0,1,-1
2020/1/3,0,0,0,0,0,0,0,-1,1,0
2020/1/4,0,0,0,0,0,0,1,0,0,0
2020/1/5,1,1,1,1,1,1,1,2,1,0
2020/1/6,-2,-2,-2,-2,-2,-2,0,0,0,1
2020/1/7,-1,-1,-1,-1,-1,-1,-2,0,-1,0
2020/1/8,1,1,1,1,1,1,0,1,1,-2
2020/1/9,0,0,0,0,0,0,1,2,0,0
2020/1/10,0,0,0,0,0,0,1,0,-1,0
2020/1/11,-1,-1,-1,-1,-1,-1,-1,0,-1,0
2020/1/12,-1,-1,-1,-1,-1,-1,-1,0,-1,-2
2020/1/13,-1,-1,-1,-1,-1,-1,-2,2,1,-2
2020/1/14,-2,-2,-2,-2,-2,-2,0,1,0,1
2020/1/15,-2,-2,-2,-2,-2,0,1,1,1,1
2020/1/16,1,1,1,1,1,1,1,0,1,1
2020/1/17,1,1,1,1,1,1,1,1,1,2
2020/1/18,2,2,2,2,2,2,2,1,2,2
2020/1/19,1,1,1,1,1,1,1,1,1,0
2020/1/20,1,1,1,1,1,1,1,0,0,-1
2020/1/21,1,1,1,1,1,0,1,-1,0,0
2020/1/22,1,1,1,1,1,0,1,1,-2,0
2020/1/23,0,0,0,0,0,-1,0,0,0,0
2020/1/24,-1,-1,-1,-1,-1,0,0,0,0,0
2020/1/25,1,1,1,1,1,1,-1,1,0,-1
2020/1/26,1,1,1,1,1,1,0,1,0,-1
2020/1/27,1,1,1,1,1,1,-2,1,0,0
2020/1/28,1,1,1,1,1,2,-2,-2,0,-1
2020/1/29,0,0,0,0,0,0,0,0,-2,-2
2020/1/30,0,0,0,0,0,0,0,1,-1,-2
2020/1/31,-2,-2,-2,-2,-2,-2,-1,1,0,0
2020/2/1,-1,-1,-1,-1,-1,-2,-2,1,-2,-2
2020/2/2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2
2020/2/3,-1,-1,-1,-1,-1,-1,-2,1,0,-2
2020/2/4,1,1,1,1,1,0,0,1,0,-2
2020/2/5,1,1,1,1,1,1,1,-2,0,0
2020/2/6,0,0,0,0,0,0,-1,-2,-1,-1
2020/2/7,-2,-2,-2,-2,-2,-1,-1,0,-1,-2
2020/2/8,-2,-2,-2,-2,-2,-2,1,0,0,-1
2020/2/9,0,0,0,0,0,0,0,1,1,2
2020/2/10,1,1,1,1,1,1,2,0,0,2
2020/2/11,1,1,1,1,1,1,1,-1,0,1
2020/2/12,1,1,1,1,1,1,-1,1,1,-1
2020/2/13,0,0,0,0,0,0,0,0,1,-1
2020/2/14,1,1,1,1,1,1,1,1,0,-2
2020/2/15,1,1,1,1,1,0,0,1,0,-1
2020/2/16,0,0,0,0,0,-1,1,1,0,1
2020/2/17,1,1,1,1,1,-1,2,0,0,1
2020/2/18,1,1,1,1,1,0,0,1,-1,2
2020/2/19,-1,-1,-1,-1,-1,-1,1,1,-2,2
2020/2/20,1,1,1,1,1,0,1,1,1,1
2020/2/21,1,1,1,1,1,1,1,2,1,1
2020/2/22,1,1,1,1,1,0,1,1,1,1
2020/2/23,1,1,1,1,1,1,1,1,0,1
2020/2/24,1,1,1,1,1,2,1,1,0,1
2020/2/25,1,1,1,1,1,1,1,1,1,1
2020/2/26,1,1,1,1,1,1,1,1,1,1
2020/2/27,0,0,0,0,0,2,1,2,1,0
2020/2/28,1,1,1,1,1,2,0,2,1,-1
2020/2/29,2,2,2,2,2,2,1,1,1,0
2020/3/1,1,1,1,1,1,1,0,1,1,0
2020/3/2,0,0,0,0,0,0,-1,1,1,0
2020/3/3,0,0,0,0,0,0,0,1,0,0
2020/3/4,-2,-2,-2,-2,-2,-1,0,1,0,0
2020/3/5,-2,-2,-2,-2,-2,-1,-1,0,-1,0
2020/3/6,0,0,0,0,0,-1,1,1,-1,0
2020/3/7,-1,-1,-1,-1,-1,-1,0,0,0,0
2020/3/8,-1,-1,-1,-1,-1,-1,-1,1,-2,-1
2020/3/9,-1,-1,-1,-1,-1,-2,-1,1,0,-1
2020/3/10,0,0,0,0,0,0,-2,0,-1,0
2020/3/11,-1,-1,-1,-1,-1,-2,0,0,0,1
2020/3/12,0,0,0,0,0,0,-1,-1,0,0
2020/3/13,-1,-1,-1,-1,-1,-1,1,0,-2,1
2020/3/14,0,0,0,0,0,-1,-1,1,0,-1
2020/3/15,-2,-2,-2,-2,-2,-2,-1,1,0,0
2020/3/16,-1,-1,-1,-1,-1,-2,-2,1,0,1
2020/3/17,0,0,0,0,0,-1,0,0,1,0
2020/3/18,-2,-2,-2,-2,-2,-1,0,0,-1,1
2020/3/19,0,0,0,0,0,0,0,1,0,0
2020/3/20,0,0,0,0,0,0,0,1,1,1
2020/3/21,0,0,0,0,0,1,1,1,0,0
2020/3/22,0,0,0,0,0,0,0,0,0,1
2020/3/23,0,0,0,0,0,0,0,0,0,1
2020/3/24,0,0,0,0,0,0,0,0,0,2
2020/3/25,1,1,1,1,1,1,1,2,0,1
2020/3/26,1,1,1,1,1,0,1,0,1,1
2020/3/27,0,0,0,0,0,0,1,0,0,1
2020/3/28,-1,-1,-1,-1,-1,-1,-1,-2,-1,1
2020/3/29,0,0,0,0,0,0,-1,1,1,-1
2020/3/30,0,0,0,0,0,0,0,2,0,0
2020/3/31,-1,-1,-1,-1,-1,-1,-1,2,0,-1
2020/4/1,0,0,0,0,0,0,0,0,0,-1
2020/4/2,0,0,0,0,0,0,0,0,0,1
2020/4/3,0,0,0,0,0,-1,-2,0,1,0
2020/4/4,1,1,1,1,1,1,0,0,1,0
2020/4/5,1,1,1,1,1,1,1,1,1,-1
2020/4/6,2,2,2,2,2,2,1,1,1,1
2020/4/7,2,2,2,2,2,2,1,2,2,1
2020/4/8,1,1,1,1,1,1,1,1,0,1
2020/4/9,1,1,1,1,1,1,1,1,1,1
2020/4/10,-1,-1,-1,-1,-1,-1,1,0,1,1
2020/4/11,1,1,1,1,1,0,0,2,1,1
2020/4/12,-1,-1,-1,-1,-1,-2,-2,-2,-2,0
2020/4/13,1,1,1,1,1,0,-1,1,1,-2
2020/4/14,1,1,1,1,1,1,1,1,1,1
2020/4/15,1,1,1,1,1,1,1,1,1,1
2020/4/16,0,0,0,0,0,1,2,1,1,1
2020/4/17,0,0,0,0,0,0,1,0,1,1
2020/4/18,1,1,1,1,1,1,1,-1,1,1
2020/4/19,1,1,1,1,1,1,1,0,0,0
2020/4/20,-2,-2,-2,-2,-2,-2,-2,-1,0,0
2020/4/21,0,0,0,0,0,0,-1,2,1,-2
2020/4/22,1,1,1,1,1,1,1,0,-2,1
2020/4/23,1,1,1,1,1,1,-1,0,0,-1
2020/4/24,1,1,1,1,1,0,1,0,0,0
2020/4/25,0,0,0,0,0,0,0,0,0,1
2020/4/26,1,1,1,1,1,0,-2,0,-1,1
2020/4/27,-1,-1,-1,-1,-1,-1,-2,1,-2,-2
2020/4/28,-1,-1,-1,-1,-1,-1,-1,0,0,0
2020/4/29,-1,-1,-1,-1,-1,-1,-1,1,0,0
2020/4/30,0,0,0,0,0,0,-2,1,1,0
2020/5/1,0,0,0,0,0,0,0,-2,-1,0
2020/5/2,1,1,1,1,1,1,-2,1,1,-2
2020/5/3,1,1,1,1,1,1,1,1,1,0
2020/5/4,0,0,0,0,0,0,0,1,1,1
2020/5/5,0,0,0,0,0,0,-1,1,1,-2
2020/5/6,1,1,1,1,1,1,1,1,1,0
2020/5/7,0,0,0,0,0,1,1,0,1,1
2020/5/8,1,1,1,1,1,1,2,-1,0,2
2020/5/9,0,0,0,0,0,1,1,0,1,1
2020/5/10,0,0,0,0,0,-1,0,0,1,1
2020/5/11,1,1,1,1,1,1,1,1,1,0
2020/5/12,0,0,0,0,0,1,-2,0,0,0
2020/5/13,1,1,1,1,1,1,1,0,1,-1
2020/5/14,1,1,1,1,1,1,1,0,1,1
2020/5/15,0,0,0,0,0,1,0,0,-1,-1
2020/5/16,-1,-1,-1,-1,-1,-1,-1,1,-1,0
2020/5/17,2,2,2,2,2,2,1,-1,0,-2
2020/5/18,-1,-1,-1,-1,-1,-2,-2,-2,-2,0
2020/5/19,0,0,0,0,0,0,-2,1,0,-2
2020/5/20,1,1,1,1,1,1,1,1,1,-2
2020/5/21,1,1,1,1,1,1,1,2,1,1
2020/5/22,0,0,0,0,0,0,1,0,1,2
2020/5/23,1,1,1,1,1,1,1,0,1,0
2020/5/24,1,1,1,1,1,1,1,1,1,1
2020/5/25,1,1,1,1,1,1,1,1,1,1
2020/5/26,2,2,2,2,2,2,1,1,2,1
